"Scientific";"FLICKR_tot";"WIKI_views";"WIKI_lenght";"WIKI_nblang";"WIKI_nbcom";"WOS_all";"WOS_shan_fields";"WOS_CiteScore";"WOS_simp_fields";"WOS_n_fields";"WOS_tot_cit";"WOS_H_index";"NCBI_nuccore";"NCBI_protein";"NCBI_popset"
"Parupeneus heptacanthus";10;10266;293;11;0;8;2,46657714360494;4,55714285714286;0,90702947845805;13;214;3;56;73;6
"Parupeneus indicus";24;3;254;0;0;14;2,25104865887299;2,38461538461538;0,872781065088757;12;73;3;130;147;15
"Parupeneus insularis";14;0;229;0;0;1;0;1,7;0;1;0;0;16;12;1
"Parupeneus macronemus";20;4;342;0;0;2;1,38629436111989;5,15;0,75;4;1;1;0;0;0
"Parupeneus multifasciatus";130;9211;593;0;0;15;2,4749922470197;3,22727272727273;0,89437585733882;15;51;4;1666;1651;35
"Parupeneus pleurostigma";17;5740;433;0;0;2;1,6094379124341;2,6;0,8;5;8;1;26;45;1
"Parupeneus porphyreus";21;665;591;0;0;2;1,03972077083992;3,4;0,625;3;160;2;2;1;0
"Parupeneus spilurus";49;1981;344;0;0;5;1,5498260458782;2,98;0,775510204081633;5;64;2;17;11;5
"Patagonotothen cornucola";3;0;44;0;0;10;2,25026027861759;2,34;0,88;11;41;4;33;15;7
"Patagonotothen guntheri";0;1412;1154;0;0;6;1,50478828368119;3,63333333333333;0,76;5;84;2;43;26;26
"Patagonotothen tessellata";1;0;28;0;0;24;2,15610094355768;4,74285714285714;0,853741496598639;13;161;8;111;50;29
"Patagonotothen wiltoni";0;0;28;0;0;0;0;0;0;0;0;0;27;25;14
"Pelates octolineatus";1;1;28;0;0;7;1,52470739303014;3,76;0,769230769230769;5;125;6;13;4;5
"Pelates quadrilineatus";27;18128;318;0;0;20;1,88694915552284;2,91428571428571;0,8032;9;365;10;263;228;22
"Pelsartia humeralis";0;271;396;0;0;5;2,04319187054512;3,55;0,864197530864198;8;158;3;2;2;2
"Pempheris adspersa";1;1614;291;0;0;6;2,58230634431397;7,15;0,919753086419753;14;155;5;0;0;0
"Pempheris adusta";13;3799;359;9;1;4;1,01140426470735;1,65;0,611111111111111;3;16;2;62;51;6
"Pempheris affinis";23;2163;420;0;0;1;0,693147180559945;2,3;0,5;2;30;1;0;0;0
"Pempheris analis";3;0;28;0;0;0;0;0;0;0;0;0;0;0;0
"Pempheris compressa";40;0;28;7;0;2;1,56071040904141;2,15;0,777777777777778;5;5;1;0;0;0
"Pempheris klunzingeri";10;0;28;0;0;3;1,27703425946614;4,06666666666667;0,693877551020408;4;45;1;0;0;0
"Pempheris mangula";6;8926;547;8;1;3;1,05492016798614;1,63333333333333;0,64;3;18;2;0;0;0
"Pempheris molucca";0;4;28;0;0;0;0;0;0;0;0;0;1;0;0
"Pempheris multiradiata";56;3426;364;0;0;3;1,6094379124341;1,9;0,8;5;29;2;1;1;0
"Pempheris ornata";0;0;30;0;0;0;0;0;0;0;0;0;0;0;0
"Pempheris oualensis";64;2;31;7;0;4;1,27703425946614;2,425;0,693877551020408;4;32;2;40;26;14
"Pempheris schomburgkii";31;0;567;0;0;1;1,09861228866811;4,3;0,666666666666667;3;0;0;51;48;27
"Pempheris schwenkii";20;0;28;0;0;5;1,74786809746676;2,22;0,816326530612245;6;20;2;40;58;10
"Pempheris vanicolensis";25;5397;354;0;0;6;1,5396544474401;3,48;0,736111111111111;6;216;4;34;31;15
"Pentaceropsis recurvirostris";30;5058;456;0;0;2;0,693147180559945;3,7;0,5;2;30;1;4;3;0
"Pentapodus aureofasciatus";4;0;29;0;0;2;1,09861228866811;1,8;0,666666666666667;3;0;0;17;15;3
"Pentapodus caninus";7;0;29;0;0;2;1,94591014905531;2,75;0,857142857142857;7;6;1;40;36;18
"Pentapodus emeryii";17;3140;109;0;0;1;0,693147180559945;3,7;0,5;2;23;1;11;10;4
"Pentapodus paradiseus";13;0;29;0;0;1;1,79175946922805;5,1;0,833333333333333;6;128;1;1;1;0
"Pentapodus porosus";0;0;29;0;0;0;0;0;0;0;0;0;0;0;0
"Pentapodus trivittatus";19;0;29;0;0;0;0;0;0;0;0;0;0;0;0
"Pentapodus vitta";3;0;31;0;0;5;1,22060726455302;3,32;0,66;4;76;4;0;0;0
"Pervagor alternans";3;71;102;0;0;0;0;0;0;0;0;0;0;0;0
"Pervagor aspricaudus";9;0;106;0;0;0;0;0;0;0;0;0;22;21;0
"Pervagor janthinosoma";20;5449;302;0;0;1;1,6094379124341;3,5;0,8;5;0;0;0;0;0
"Pervagor marginalis";0;0;88;0;0;0;0;0;0;0;0;0;4;4;0
"Pervagor melanocephalus";12;6321;141;0;0;1;0,693147180559945;1,7;0,5;2;0;0;18;14;11
"Petroscirtes breviceps";153;13188;163;0;0;8;0,916464885539471;1,675;0,56198347107438;3;69;4;77;46;9
"Petroscirtes fallax";6;3185;211;0;0;0;0;0;0;0;0;0;10;7;2
"Petroscirtes lupus";89;3631;225;0;0;0;0;0;0;0;0;0;9;9;5
"Petroscirtes mitratus";33;7900;161;0;0;0;0;0;0;0;0;0;0;0;0
"Phanerodon atripes";3;0;62;0;0;2;1,03972077083992;2,3;0,625;3;7;1;6;4;0
"Phanerodon vacca";24;0;0;0;0;16;1,85819826928741;3,55454545454545;0,792866941015089;10;62;3;61;45;22
"Pholidapus dybowskii";0;66;454;0;0;9;1,30610660908539;2,32857142857143;0,710059171597633;4;40;4;39;62;10
"Pholidichthys leucotaenia";45;72871;1144;0;0;0;0;0;0;0;0;0;65;41;38
"Pholis crassispina";0;0;30;0;0;5;1,01140426470735;2,06666666666667;0,611111111111111;3;18;2;133;71;16
"Pholis gunnellus";168;4796;1610;22;11;31;2,38632412508316;3,988;0,865497076023392;18;348;10;283;193;18
"Phyllogobius platycephalops";7;1486;180;0;0;0;0;0;0;0;0;0;0;0;0
"Pictichromis paccagnellorum";63;179;155;0;0;2;0,693147180559945;2,3;0,5;2;17;1;26;44;5
"Pictichromis porphyrea";35;5555;111;0;0;1;0,693147180559945;2,3;0,5;2;12;1;17;6;3
"Pictilabrus laticlavius";52;2636;781;10;0;5;1,47875152464795;3,28;0,754325259515571;5;26;1;11;5;7
"Pictilabrus viridis";0;0;76;9;0;0;0;0;0;0;0;0;0;0;0
"Pinguipes brasilianus";5;7978;507;8;1;33;2,43305065240586;4,05454545454545;0,883856829802776;18;416;13;12;6;4
"Pinguipes chilensis";4;5214;489;0;0;14;1,90727093913948;2,47692307692308;0,809073724007561;9;114;6;265;217;13
"Plagiotremus azaleus";6;4284;182;0;0;2;1,05492016798614;3,15;0,64;3;0;0;11;10;9
"Plagiotremus ewaensis";28;3848;149;0;0;0;0;0;0;0;0;0;0;0;0
"Plagiotremus goslinei";7;4974;172;0;0;0;0;0;0;0;0;0;0;0;0
"Plagiotremus laudandus";9;4907;116;0;0;1;0;0;0;0;0;0;8;7;5
"Plagiotremus phenax";1;4131;152;0;0;1;0,693147180559945;0,7;0,5;2;0;0;3;3;0
"Plagiotremus rhinorhynchos";153;7180;754;0;0;13;1,77162395567737;4,24285714285714;0,773333333333333;8;140;6;43;33;19
"Plagiotremus tapeinosoma";76;2198;373;0;0;4;1,03972077083992;3,2;0,625;3;24;2;49;40;19
"Plagiotremus townsendi";8;4044;157;0;0;0;0;0;0;0;0;0;1;1;0
"Planiliza melinoptera";0;260;42;0;0;4;1,90615474653985;2,875;0,84375;7;13;2;56;49;5
"Platax batavianus";39;11197;360;9;0;0;0;0;0;0;0;0;9;6;0
"Platax boersii";51;0;481;9;0;0;0;0;0;0;0;0;16;9;5
"Platax orbicularis";423;8639;1165;0;0;19;2,40086126571864;3,10666666666667;0,880859375;15;73;5;147;153;30
"Platax pinnatus";243;82009;1437;15;6;6;1,90615474653985;5,375;0,84375;7;13;2;23;13;1
"Platax teira";436;38466;770;0;0;19;2,38641020283402;2,51538461538462;0,888429752066116;13;151;7;182;212;81
"Platycephalus bassensis";14;1621;812;0;0;68;2,68186248075124;4,92909090909091;0,895204081632653;30;730;15;57;29;12
"Platycephalus endrachtensis";1;4857;476;0;0;7;1,54030582522652;2,7;0,727272727272727;6;79;4;15;10;2
"Platycephalus fuscus";101;52936;787;10;0;46;2,30623603015643;4,23170731707317;0,837567680133278;22;611;14;152;9;3
"Platycephalus laevigatus";5;5010;433;0;0;9;1,84220687753057;3,82857142857143;0,808641975308642;8;68;4;13;10;2
"Platycephalus richardsoni";1;0;28;0;0;20;2,36286412498623;4,29473684210526;0,871887732005432;16;242;7;72;15;2
"Platycephalus speculator";20;5264;501;0;0;14;1,66850603031179;3,68461538461538;0,754437869822485;8;310;11;24;6;2
"Platygillellus rubellulus";0;6887;112;0;0;0;0;0;0;0;0;0;0;0;0
"Plectorhinchus albovittatus";23;10417;614;0;0;1;0,693147180559945;3,8;0,5;2;1;1;32;18;0
"Plectorhinchus caeruleonothus";2;16438;483;3;1;1;0,693147180559945;1,7;0,5;2;9;1;7;7;1
"Plectorhinchus chaetodonoides";315;13701;693;12;5;5;1,73286795139986;2,55;0,8125;6;0;0;0;0;0
"Plectorhinchus chrysotaenia";11;0;77;0;0;2;1,33217904021012;3,25;0,72;4;2;1;44;25;14
"Plectorhinchus diagrammus";1;8455;228;8;0;1;0;0;0;0;7;1;16;14;1
"Plectorhinchus flavomaculatus";31;0;82;0;0;4;1,5498260458782;3,63333333333333;0,775510204081633;5;22;2;56;41;3
"Plectorhinchus gibbosus";47;8261;557;0;0;7;1,242453324894;1,94;0,666666666666667;4;176;3;0;0;0
"Plectorhinchus lessonii";17;0;107;0;0;0;0;0;0;0;0;0;25;20;6
"Plectorhinchus lineatus";129;8403;1174;13;0;4;1,03972077083992;2,43333333333333;0,625;3;7;1;70;102;5
"Plectorhinchus multivittatus";2;0;65;0;0;1;1,09861228866811;4,8;0,666666666666667;3;2;1;1;0;0
"Plectorhinchus picus";50;8260;653;0;0;0;0;0;0;0;0;0;0;0;0
"Plectorhinchus polytaenia";125;3520;571;0;0;2;0;1,25;0;1;1;1;14;10;3
"Plectorhinchus vittatus";254;3472;846;13;2;2;1,09861228866811;2,05;0,666666666666667;3;0;0;142;248;14
"Plectranthias nanus";0;0;69;9;0;0;0;0;0;0;0;0;55;29;1
"Plectroglyphidodon altus";42;0;0;0;0;0;0;0;0;0;0;0;9;4;2
"Plectroglyphidodon apicalis";4;0;0;0;0;5;1,05492016798614;3,825;0,64;3;110;3;47;41;10
"Plectroglyphidodon aureus";3;0;0;0;0;0;0;0;0;0;0;0;104;21;4
"Plectroglyphidodon dickii";35;2477;391;11;1;7;2,30258509299405;3,45;0,9;10;110;4;0;0;0
"Plectroglyphidodon emeryi";0;0;0;0;0;0;0;0;0;0;0;0;126;29;4
"Plectroglyphidodon fasciolatus";16;0;0;0;0;15;2,21519220939617;4,225;0,863905325443787;12;203;8;317;36;15
"Plectroglyphidodon flaviventris";0;551;93;9;1;0;0;0;0;0;0;0;0;0;0
"Plectroglyphidodon gascoynei";6;0;0;0;0;1;0;0;0;0;0;0;14;13;8
"Plectroglyphidodon imparipennis";14;5121;248;9;1;1;0;2,4;0;1;10;1;0;0;0
"Plectroglyphidodon insularis";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"Plectroglyphidodon johnstonianus";13;5213;128;12;1;2;1,09861228866811;2,2;0,666666666666667;3;30;1;48;37;9
"Plectroglyphidodon leucozonus";12;804;104;11;1;1;0;0;0;0;0;0;341;71;18
"Plectroglyphidodon obreptus";3;0;0;0;0;0;0;0;0;0;0;0;9;6;9
"Plectroglyphidodon phoenixensis";0;886;237;11;1;0;0;0;0;0;0;0;24;19;0
"Plectropomus areolatus";20;3;1147;0;0;38;2,84202825865983;4,534375;0,91087962962963;26;625;12;967;105;32
"Plectropomus laevis";33;25229;2284;16;4;15;2,26477232208599;3,825;0,875;12;147;8;332;118;24
"Plectropomus leopardus";77;15361;1861;0;0;362;2,87130161501577;4,59498327759197;0,871401267326534;70;6963;48;269825;73769;84
