"fb_sci_name";"FB_nas";"FB_Importance";"FB_IUCN";"FB_UsedasBait";"FB_UsedforAquaculture";"FB_PriceCateg";"FB_Aquarium_I";"FB_Aquarium_II"
"Assessor macneilli";207;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";NA
"Assessor randalli";109;NA;"N.E.";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Assiculus punctatus";226;NA;"LC";"never/rarely";"never/rarely";"unknown";"potential";NA
"Asterropteryx striata";126;NA;"N.E.";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Atherina hepsetus";109;"highly commercial";"N.E.";"never/rarely";"never/rarely";"medium";"never/rarely";NA
"Atherina presbyter";83;"subsistence fisheries";"LC";"never/rarely";"never/rarely";"medium";"never/rarely";NA
"Atherinomorus vaigiensis";129;"minor commercial";"N.E.";"never/rarely";"never/rarely";"medium";"never/rarely";NA
"Atractoscion aequidens";92;"commercial";"NT";"never/rarely";"never/rarely";"medium";"never/rarely";NA
"Atrosalarias holomelas";106;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Atule mate";82;"minor commercial";"LC";"never/rarely";"never/rarely";"medium";"never/rarely";NA
"Atypichthys latus";127;NA;"N.E.";"never/rarely";"never/rarely";"unknown";"commercial";NA
"Atypichthys strigatus";226;NA;"N.E.";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Aulacocephalus temminckii";108;NA;"LC";"never/rarely";"never/rarely";"very high";NA;NA
"Aulorhynchus flavidus";97;NA;"LC";"never/rarely";"never/rarely";"unknown";"public aquariums";"based mainly on capture"
"Austrolabrus maculatus";211;NA;"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Axoclinus cocoensis";130;NA;"VU";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Axoclinus lucillae";112;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Axoclinus multicinctus";135;NA;"VU";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Axoclinus rubinoffi";134;NA;"VU";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Azurina atrilobata";102;NA;"LC";"never/rarely";"never/rarely";"unknown";NA;NA
"Azurina cyanea";90;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Azurina elerae";101;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Azurina eupalama";125;NA;"CR";"never/rarely";"never/rarely";"unknown";NA;NA
"Azurina lepidolepis";102;"of no interest";"LC";"never/rarely";"never/rarely";"unknown";NA;NA
"Azurina multilineata";88;"subsistence fisheries";"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Balistapus undulatus";88;"commercial";"LC";"never/rarely";"never/rarely";"medium";"commercial";"based mainly on capture"
"Balistes capriscus";62;"commercial";"VU";"never/rarely";"never/rarely";"high";"public aquariums";" "
"Balistes polylepis";93;"commercial";"LC";"never/rarely";"never/rarely";"medium";"never/rarely";NA
"Balistes punctatus";99;"commercial";"VU";"never/rarely";"never/rarely";"medium";NA;NA
"Balistes vetula";78;"minor commercial";"NT";"never/rarely";"never/rarely";"medium";"commercial";"based mainly on capture"
"Balistoides conspicillum";94;"minor commercial";"LC";"never/rarely";"never/rarely";"medium";"commercial";"based mainly on capture"
"Balistoides viridescens";96;"commercial";"LC";"never/rarely";"never/rarely";"medium";"never/rarely";NA
"Bathygobius krefftii";234;NA;"N.E.";"never/rarely";"never/rarely";"very high";"never/rarely";NA
